ID,company,contact,country,deadline,description,employmentType,industry,jobTitle,jobType,positionLevel,positions,qualification,readvertised,requirements,responsibilities,salary,skills,technology,town,uploadDate,url,website,year
1,Periperi Recruitment Services,N/A,Kenya,N/A,,,Enforcement & Security,Sales Representative,, Entry level ,1,: Diploma ,N/A,,,"15,000 - 30,000",,Sales,Nairobi,N/A,https://www.brightermonday.co.ke/listings/sales-representative-w2kmvz,https://www.brightermonday.co.ke,N/A
1,Corporate Staffing Services Ltd,N/A,Kenya,N/A," Our client is a fast growing internet service provider in the country. They seek to hire a well-experienced and efficient Project Manager tasked with planning, scheduling, and managing the rollout of core infrastructure network and customer connectivity solutions to new areas across Kenya, on a project basis. Once rollout has been completed, the successful candidate may be reassigned to other projects, or move into a day-to-day operations role in the region. Minimum Qualification: Bachelor Experience Level: Senior level Experience Length: 5 years Job Description Location: Nanyuki Salary: Competitive Based on Experience Key ",,IT & Telecoms,Project Manager,,,1,"s • Bachelor’s degree in telecommunications, ICT, or Electrical Engineering • 5 years of relevant work/management ",N/A," and infrastructure deployment when required. Skills & Qualificationexperience, managing complex metro fiber projects for both small and large scale telecommunications and/or ISPs in challenging environments such as remote/rural areas • Experience of fiber Core Infrastructure Network Planning, Design, Implementation and Maintenance, as well as customer connectivity and power solutions. • “Technical guru” with the ability to provide QA and challenge to the Technical team and identify potential issues before they happen. • Proven leadership ability to influence, develop, and empower others • Results and detail oriented with a very hands on approach • Excellent project management, and decision making skills • Able to operate under high pressure with limited resources • Intelligent, motivated self-starter with strong interpersonal skills and work ethic • Ability to propose creative solutions and think outside the box where required • Willingness and flexibility to travel for extended periods of time, and/or relocate to new regions as required. How to Apply If you are up to the challenge, possess the necessary qualification and experience; please send your CV only quoting the job title on the email subject (Project Manager – Nanyuki ) before Monday 13th July 2020. Kindly indicate current/last salary on your CV. N.B: We do not charge any fee for receiving your CV or for interviewing. Only candidates short-listed for interview will be contacted. Share Job Post",,Confidential," and infrastructure deployment when required. Skills & Qualificationexperience, managing complex metro fiber projects for both small and large scale telecommunications and/or ISPs in challenging environments such as remote/rural areas • Experience of fiber Core Infrastructure Network Planning, Design, Implementation and Maintenance, as well as customer connectivity and power solutions. • “Technical guru” with the ability to provide QA and challenge to the Technical team and identify potential issues before they happen. • Proven leadership ability to influence, develop, and empower others • Results and detail oriented with a very hands on approach • Excellent project management, and decision making skills • Able to operate under high pressure with limited resources • Intelligent, motivated self-starter with strong interpersonal skills and work ethic • Ability to propose creative solutions and think outside the box where required • Willingness and flexibility to travel for extended periods of time, and/or relocate to new regions as required. How to Apply If you are up to the challenge, possess the necessary qualification and experience; please send your CV only quoting the job title on the email subject (Project Manager – Nanyuki ) before Monday 13th July 2020. Kindly indicate current/last salary on your CV. N.B: We do not charge any fee for receiving your CV or for interviewing. Only candidates short-listed for interview will be contacted. Share Job Post",Engineering & Technology,Rest of Kenya,N/A,https://www.brightermonday.co.ke/listings/project-manager-nxjz90,https://www.brightermonday.co.ke,N/A
1,Potential Staffing Limited,N/A,Kenya,N/A," We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 2 years Job Description Writing well designed, testable,efficient code by using best software development practices · Creating website layout/userinterfaces by using standard HTML/CSS practices · Integrating data from variousback-end services and databases Jobbrief We are looking for an outstandingWeb Developer to be responsible for the coding, innovative design and layout ofour website. Web developer ",,IT & Telecoms,Web Developer,,,1,,N/A," based on technical needs · Create and maintain softwaredocumentation · Be responsible for maintaining,expanding, and scaling our site · Stay plugged into emergingtechnologies/industry trends and apply them into operations and activities · Cooperate with web designers tomatch visual design intent  Requirements · Proven working experience in webprogramming · Top-notch programming skills andin-depth knowledge of modern HTML/CSS · Familiarity with at least one ofthe following programming languages: PHP, ASP.NET or JavaScript · A solid understanding of how web applicationswork including security, session management, and best development practices · Adequate knowledge of relationaldatabase systems, Object Oriented Programming and web application development · Hands-on experience with networkdiagnostics, network analytics tools · Basic knowledge of Search EngineOptimization process · Aggressive problem diagnosis andcreative problem solving skills · Strong organizational skills tojuggle multiple tasks within the constraints of timelines and budgetswith business acumen · Ability to work and thrive in afast-paced environment, learn rapidly and master diverse web technologies andtechniques. · BS in computer science or a relatedfield Qualifiedcandidates are encouraged to apply Share Job Post",,Confidential," based on technical needs · Create and maintain softwaredocumentation · Be responsible for maintaining,expanding, and scaling our site · Stay plugged into emergingtechnologies/industry trends and apply them into operations and activities · Cooperate with web designers tomatch visual design intent  Requirements · Proven working experience in webprogramming · Top-notch programming skills andin-depth knowledge of modern HTML/CSS · Familiarity with at least one ofthe following programming languages: PHP, ASP.NET or JavaScript · A solid understanding of how web applicationswork including security, session management, and best development practices · Adequate knowledge of relationaldatabase systems, Object Oriented Programming and web application development · Hands-on experience with networkdiagnostics, network analytics tools · Basic knowledge of Search EngineOptimization process · Aggressive problem diagnosis andcreative problem solving skills · Strong organizational skills tojuggle multiple tasks within the constraints of timelines and budgetswith business acumen · Ability to work and thrive in afast-paced environment, learn rapidly and master diverse web technologies andtechniques. · BS in computer science or a relatedfield Qualifiedcandidates are encouraged to apply Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/web-developer-750g7q,https://www.brightermonday.co.ke,N/A
1,Mwananchi Credit Ltd,N/A,Kenya,N/A,,,"Banking, Finance & Insurance",Recovery and Portfolio Officer,, Entry level ,1,: Diploma ,N/A, related to loans Share Job Post,,Confidential, related to loans Share Job Post,Customer Service & Support,Nairobi,N/A,https://www.brightermonday.co.ke/listings/recovery-and-portfolio-officer-99njk5,https://www.brightermonday.co.ke,N/A
1,Anonymous Employer,N/A,Kenya,N/A,,,IT & Telecoms,Customer Service Representative,, Mid level ,1,: Bachelor ,N/A,,,Confidential,,Customer Service & Support,Nairobi,N/A,https://www.brightermonday.co.ke/listings/customer-service-representative-mpjg0q,https://www.brightermonday.co.ke,N/A
1,Reliable Recruiters,N/A,Kenya,N/A, Applications are invited from qualified persons for the above vacant position. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 3 years Job Description ,,Recruitment,Quantity Surveyor,,,1,,N/A,". • Scrutinizing maintenance and material costs, as well as contracts to ensure the best deals. • Liaising with site managers, clients, contractors, and subcontractors. • Preparing reports, analyses, contracts, budgets, risk assessment, and other documents. • Advising managers and clients on improvements and new strategies. • Keeping track of materials and ordering more when required. • Documenting any changes in design and updating budgets. • Establishing and maintaining professional relationships with external and internal stakeholders. • Traveling from the office to various sites as required. Requirements: • Bachelor's degree in Quantity Surveying, Engineering, Management, or similar. • Construction estimating or finance experienced is advantageous. • Strong analytical and critical thinking skills. • Sound knowledge of construction. • Excellent negotiating and interpersonal skills. • Ability to organize, plan, and strategize. • Great networking abilities. Share Job Post", • Reviewing construction plans and preparing quantity ,Confidential,". • Scrutinizing maintenance and material costs, as well as contracts to ensure the best deals. • Liaising with site managers, clients, contractors, and subcontractors. • Preparing reports, analyses, contracts, budgets, risk assessment, and other documents. • Advising managers and clients on improvements and new strategies. • Keeping track of materials and ordering more when required. • Documenting any changes in design and updating budgets. • Establishing and maintaining professional relationships with external and internal stakeholders. • Traveling from the office to various sites as required. Requirements: • Bachelor's degree in Quantity Surveying, Engineering, Management, or similar. • Construction estimating or finance experienced is advantageous. • Strong analytical and critical thinking skills. • Sound knowledge of construction. • Excellent negotiating and interpersonal skills. • Ability to organize, plan, and strategize. • Great networking abilities. Share Job Post",Engineering & Technology,Nairobi,N/A,https://www.brightermonday.co.ke/listings/quantity-surveyor-rvj825,https://www.brightermonday.co.ke,N/A
1,Potential Staffing Limited,N/A,Kenya,N/A," We are looking for a qualified Database developer to design stable and reliable databases, according to our company’s needs. You will be responsible for developing, testing, improving and maintaining new and existing databases to help users retrieve data effectively. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 2 years Job Description Aspart of our IT team, you will work closely with developers to ensure systemconsistency. You will also collaborate with administrators and clients toprovide technical support and identify new requirements. Communication andorganization skills are keys for this position, along with a problem-solutionattitude. Ultimately,you should be able to ensure our database systems run effectively and securelyon a daily basis.  ",,IT & Telecoms,Database Developer,,,1,,N/A," and identify new features · Develop technical and training manuals · Provide data management support to users · Ensure all database programs meet company and performancerequirements · Research and suggest new database products, services andprotocols Requirements · Proven work experience as a Database developer · In-depth understanding of data management (e.g. permissions,recovery, security and monitoring) · Knowledge of software development and user interface webapplications · Hands on experience with SQL · Familiarity working with .Net Framework, JavaScript, HTML andOracle · Excellent analytical and organization skills · An ability to understand front-end users requirements and aproblem-solving attitude · Excellent verbal and written communication skills · BSc degree in Computer Science or relevant field Qualified Candidates are required to apply Share Job Post",,Confidential," and identify new features · Develop technical and training manuals · Provide data management support to users · Ensure all database programs meet company and performancerequirements · Research and suggest new database products, services andprotocols Requirements · Proven work experience as a Database developer · In-depth understanding of data management (e.g. permissions,recovery, security and monitoring) · Knowledge of software development and user interface webapplications · Hands on experience with SQL · Familiarity working with .Net Framework, JavaScript, HTML andOracle · Excellent analytical and organization skills · An ability to understand front-end users requirements and aproblem-solving attitude · Excellent verbal and written communication skills · BSc degree in Computer Science or relevant field Qualified Candidates are required to apply Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/database-developer-nxjwdm,https://www.brightermonday.co.ke,N/A
1,Potential Staffing Limited,N/A,Kenya,N/A," We are looking for a passionate Software Engineer to design, develop and install software solutions. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 2 years Job Description SoftwareEngineer ",,IT & Telecoms,Software Engineer,,,1,,N/A,", defining systemfunctionality and writing code in various languages, like Java, Ruby on Railsor .NET programming languages (e.g. C++ or JScript.NET.) Our ideal candidatesare familiar with the software development life cycle (SDLC) from preliminarysystem analysis to tests and deployment. Ultimately,the role of the Software Engineer is to build high-quality, innovative andfully performing software that complies with coding standards and technicaldesign.  Responsibilities · Execute full software development life cycle (SDLC) · Develop flowcharts, layouts and documentation to identifyrequirements and solutions · Write well-designed, testable code · Produce specifications and determine operational feasibility · Integrate software components into a fully functional softwaresystem · Develop software verification plans and quality assuranceprocedures · Document and maintain software functionality · Troubleshoot, debug and upgrade existing systems · Deploy programs and evaluate user feedback · Comply with project plans and industry standards · Ensure software is updated with latest features Requirements · Proven work experience as a Software Engineer or SoftwareDeveloper · Experience designing interactive applications · Ability to develop software in Java, Ruby on Rails, C++ or otherprogramming languages · Excellent knowledge of relational databases, SQL and ORMtechnologies (JPA2, Hibernate) · Experience developing web applications using at least onepopular web framework (JSF, Wicket, GWT, Spring MVC) · Experience with test-driven development · Proficiency in software engineering tools · Ability to document requirements and specifications · BSc degree in Computer Science, Engineering or relevant field Qualified candidates are required to apply Share Job Post",,Confidential,", defining systemfunctionality and writing code in various languages, like Java, Ruby on Railsor .NET programming languages (e.g. C++ or JScript.NET.) Our ideal candidatesare familiar with the software development life cycle (SDLC) from preliminarysystem analysis to tests and deployment. Ultimately,the role of the Software Engineer is to build high-quality, innovative andfully performing software that complies with coding standards and technicaldesign.  Responsibilities · Execute full software development life cycle (SDLC) · Develop flowcharts, layouts and documentation to identifyrequirements and solutions · Write well-designed, testable code · Produce specifications and determine operational feasibility · Integrate software components into a fully functional softwaresystem · Develop software verification plans and quality assuranceprocedures · Document and maintain software functionality · Troubleshoot, debug and upgrade existing systems · Deploy programs and evaluate user feedback · Comply with project plans and industry standards · Ensure software is updated with latest features Requirements · Proven work experience as a Software Engineer or SoftwareDeveloper · Experience designing interactive applications · Ability to develop software in Java, Ruby on Rails, C++ or otherprogramming languages · Excellent knowledge of relational databases, SQL and ORMtechnologies (JPA2, Hibernate) · Experience developing web applications using at least onepopular web framework (JSF, Wicket, GWT, Spring MVC) · Experience with test-driven development · Proficiency in software engineering tools · Ability to document requirements and specifications · BSc degree in Computer Science, Engineering or relevant field Qualified candidates are required to apply Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/software-engineer-859g50,https://www.brightermonday.co.ke,N/A
1,Mwananchi Credit Ltd,N/A,Kenya,N/A," Mwananchi Credit Company invites applications from dynamic, goal-oriented, high performers from qualified individuals to fill in a position of Brach Manager Kisumu and Thika Office. Minimum Qualification: Bachelor Experience Level: Senior level Experience Length: 3 years Job Description Micro Finance Branch Manager Job Duties & Key ",,"Banking, Finance & Insurance",Brach Manager Kisumu and Thika Office,,,1,s • Bachelor’s degree in Business Administration or equivalent from a recognize institution. • A MUST 3-4 years’ ,N/A,,,Confidential,,Management & Business Development,Rest of Kenya,N/A,https://www.brightermonday.co.ke/listings/brach-manager-kisumu-and-thika-office-g9d08m,https://www.brightermonday.co.ke,N/A
1,Kajiado County Public Service Board,N/A,Kenya,N/A, The Chief Officer shall be the accounting and authorized officer in a specific Department and shall be responsible to the respective County Executive Committee Member. Minimum Qualification: Bachelor Experience Level: Management level Experience Length: 10 years Job Description Terms of Service: Contract (2 Years) Salary: Job Group ‘S’ Duties and ,,Government,County Chief Officers (5 Posts),,,1,,N/A," for appointment i. Be a Kenya citizen; ii. Have a Bachelor’s degree from a university recognized in Kenya; iii. Possession of a Master’s degree will be an added advantage; iv. Have vast knowledge and experience of not less than 10 years, five of which should be in a managerial position; v. Demonstrate a high degree of professional and technical competence in work performance and results; vi. Be a strategic thinker and result oriented; vii. Have excellent communication, organizational and interpersonal skills; viii. Have capacity to work under pressure to meet deadlines; Have the ability to portray and uphold a positive image; ix. Have ability to work in a multi-ethnic environment with sensitivity and respect for diversity; x. Satisfy the requirement of Chapter Six of the Constitution of Kenya, 2010; xi. Demonstrate understanding and commitment to the values and principles as outlined in Articles10 and 232 of the Constitution of Kenya, 2010; and xii. Possess a proficiency in computer applications.  Applications can ONLY be submitted ONLINE on or before Friday 10th July, 2020 through https://cpsb.kajiado.go.ke • ONLY Short listed candidates will be contacted and they shall be required to produce originals of their National Identity Card, Academic and Professional certificates, Transcripts, Registration certificates to Professional bodies and any other relevant documents during interviews. • The County Government of Kajiado is an equal opportunity employer. • Youth, Women, Persons living with Disabilities, Marginalised and Minority Communities are encouraged to apply. • Any form of canvassing will lead to automatic disqualification. • Please be informed that Kajiado County Public Service Board does not use agents nor does it charge any fees. Share Job Post",,Confidential," for appointment i. Be a Kenya citizen; ii. Have a Bachelor’s degree from a university recognized in Kenya; iii. Possession of a Master’s degree will be an added advantage; iv. Have vast knowledge and experience of not less than 10 years, five of which should be in a managerial position; v. Demonstrate a high degree of professional and technical competence in work performance and results; vi. Be a strategic thinker and result oriented; vii. Have excellent communication, organizational and interpersonal skills; viii. Have capacity to work under pressure to meet deadlines; Have the ability to portray and uphold a positive image; ix. Have ability to work in a multi-ethnic environment with sensitivity and respect for diversity; x. Satisfy the requirement of Chapter Six of the Constitution of Kenya, 2010; xi. Demonstrate understanding and commitment to the values and principles as outlined in Articles10 and 232 of the Constitution of Kenya, 2010; and xii. Possess a proficiency in computer applications.  Applications can ONLY be submitted ONLINE on or before Friday 10th July, 2020 through https://cpsb.kajiado.go.ke • ONLY Short listed candidates will be contacted and they shall be required to produce originals of their National Identity Card, Academic and Professional certificates, Transcripts, Registration certificates to Professional bodies and any other relevant documents during interviews. • The County Government of Kajiado is an equal opportunity employer. • Youth, Women, Persons living with Disabilities, Marginalised and Minority Communities are encouraged to apply. • Any form of canvassing will lead to automatic disqualification. • Please be informed that Kajiado County Public Service Board does not use agents nor does it charge any fees. Share Job Post",Management & Business Development,Rest of Kenya,N/A,https://www.brightermonday.co.ke/listings/county-chief-officers-5-posts-6kv5jn,https://www.brightermonday.co.ke,N/A
